#Acquired:	08/19/2026 10:00:00
#Title:	Acetaminophen powder
#Acq. time (s):	15
#Accumulations:	3
#Range (cm-1):	200 - 3198
#Grating:	1800
#Objective:	x50
#Laser:	785
#Spectro:	iHR320
200.00	161.082
202.00	156.292
204.00	161.877
206.00	159.951
208.00	158.374
210.00	157.507
212.00	156.252
214.00	159.891
216.00	158.233
218.00	156.973
220.00	154.138
222.00	158.065
224.00	154.076
226.00	157.253
228.00	155.926
230.00	156.447
232.00	157.625
234.00	161.137
236.00	155.892
238.00	156.790
240.00	151.652
242.00	155.142
244.00	155.852
246.00	155.762
248.00	156.313
250.00	155.039
252.00	156.022
254.00	152.291
256.00	154.254
258.00	154.158
260.00	154.616
262.00	154.960
264.00	154.293
266.00	155.082
268.00	157.172
270.00	151.818
272.00	149.381
274.00	159.238
276.00	148.863
278.00	150.397
280.00	153.831
282.00	154.557
284.00	153.100
286.00	151.233
288.00	151.847
290.00	151.787
292.00	154.364
294.00	150.795
296.00	147.906
298.00	150.880
300.00	149.270
302.00	153.271
304.00	151.362
306.00	148.069
308.00	151.137
310.00	150.539
312.00	155.529
314.00	150.245
316.00	153.037
318.00	152.486
320.00	154.370
322.00	158.496
324.00	162.975
326.00	171.387
328.00	172.345
330.00	172.021
332.00	169.417
334.00	164.079
336.00	157.140
338.00	156.324
340.00	151.431
342.00	148.024
344.00	149.281
346.00	145.480
348.00	148.299
350.00	146.756
352.00	147.958
354.00	144.772
356.00	145.513
358.00	143.367
360.00	141.925
362.00	146.650
364.00	144.011
366.00	144.656
368.00	146.823
370.00	140.159
372.00	145.894
374.00	144.551
376.00	144.906
378.00	145.729
380.00	149.901
382.00	158.273
384.00	162.410
386.00	168.009
388.00	171.238
390.00	171.070
392.00	171.202
394.00	169.066
396.00	161.054
398.00	157.275
400.00	149.456
402.00	147.814
404.00	141.034
406.00	139.829
408.00	141.630
410.00	141.697
412.00	144.522
414.00	140.173
416.00	142.932
418.00	140.650
420.00	135.185
422.00	139.502
424.00	138.437
426.00	139.336
428.00	138.104
430.00	141.639
432.00	137.457
434.00	139.770
436.00	137.092
438.00	136.768
440.00	134.978
442.00	138.528
444.00	134.543
446.00	136.620
448.00	140.624
450.00	137.588
452.00	140.013
454.00	141.091
456.00	142.186
458.00	146.221
460.00	150.576
462.00	155.408
464.00	156.824
466.00	151.381
468.00	151.647
470.00	148.286
472.00	143.802
474.00	146.583
476.00	142.378
478.00	136.632
480.00	137.619
482.00	134.204
484.00	136.059
486.00	134.412
488.00	134.683
490.00	137.006
492.00	134.376
494.00	135.863
496.00	136.019
498.00	134.206
500.00	134.171
502.00	133.556
504.00	135.104
506.00	135.048
508.00	133.042
510.00	136.827
512.00	133.172
514.00	131.763
516.00	130.672
518.00	132.014
520.00	134.066
522.00	130.276
524.00	134.257
526.00	128.743
528.00	130.127
530.00	131.748
532.00	129.276
534.00	133.384
536.00	127.439
538.00	128.667
540.00	128.450
542.00	124.399
544.00	130.245
546.00	131.055
548.00	128.302
550.00	129.878
552.00	130.546
554.00	132.523
556.00	129.769
558.00	126.983
560.00	125.742
562.00	128.670
564.00	127.627
566.00	126.307
568.00	126.831
570.00	128.231
572.00	125.697
574.00	126.922
576.00	127.740
578.00	127.089
580.00	130.962
582.00	125.634
584.00	128.419
586.00	126.362
588.00	126.256
590.00	127.737
592.00	128.426
594.00	125.701
596.00	128.207
598.00	127.651
600.00	130.726
602.00	129.918
604.00	122.221
606.00	124.176
608.00	124.154
610.00	126.814
612.00	124.927
614.00	129.901
616.00	127.360
618.00	122.829
620.00	123.899
622.00	124.893
624.00	123.996
626.00	125.615
628.00	125.102
630.00	120.725
632.00	123.506
634.00	126.768
636.00	129.564
638.00	128.191
640.00	130.340
642.00	136.529
644.00	148.505
646.00	151.105
648.00	159.766
650.00	170.291
652.00	168.600
654.00	160.550
656.00	151.465
658.00	148.792
660.00	135.185
662.00	131.658
664.00	127.171
666.00	120.584
668.00	124.043
670.00	118.423
672.00	123.746
674.00	119.247
676.00	117.961
678.00	119.397
680.00	118.997
682.00	123.725
684.00	120.385
686.00	120.461
688.00	122.291
690.00	119.470
692.00	118.530
694.00	117.800
696.00	115.283
698.00	117.710
700.00	120.211
702.00	119.582
704.00	121.238
706.00	122.547
708.00	118.778
710.00	117.579
712.00	119.215
714.00	116.633
716.00	120.311
718.00	116.182
720.00	117.764
722.00	115.285
724.00	117.801
726.00	120.512
728.00	116.612
730.00	112.654
732.00	119.134
734.00	118.685
736.00	120.501
738.00	115.960
740.00	119.994
742.00	115.326
744.00	116.353
746.00	115.711
748.00	115.761
750.00	116.796
752.00	116.545
754.00	115.594
756.00	113.903
758.00	113.560
760.00	119.800
762.00	109.212
764.00	115.335
766.00	115.973
768.00	111.885
770.00	113.756
772.00	113.756
774.00	113.143
776.00	112.656
778.00	115.003
780.00	111.530
782.00	116.594
784.00	115.018
786.00	123.362
788.00	124.287
790.00	133.316
792.00	138.689
794.00	146.281
796.00	147.472
