#Acquired:	08/23/2026 10:00:00
#Title:	Alpha Cellulose reference
#Acq. time (s):	15
#Accumulations:	3
#Range (cm-1):	267 - 2004
#Grating:	1800
#Objective:	x50
#Laser:	785nm
#Spectro:	iHR320
267.13	0.001647415
269.33	0.002771488
271.53	0.005034222
273.73	0.006023068
275.92	0.005316029
278.12	0.005063233
280.31	0.005273072
282.51	0.005199312
284.7	0.004978168
286.89	0.004860801
289.08	0.004838219
291.27	0.00477417
293.46	0.004667231
295.65	0.004669397
297.84	0.004779017
300.02	0.004872172
302.21	0.00495212
304.39	0.004931989
306.58	0.004781097
308.76	0.004706621
310.94	0.004734669
313.12	0.004683098
315.3	0.004564752
317.48	0.004489515
319.66	0.004447952
321.83	0.004572746
324.01	0.00489995
326.18	0.00515669
328.36	0.005330852
330.53	0.005576757
332.7	0.005896669
334.87	0.006328016
337.04	0.0068895
339.21	0.007647902
341.38	0.008596592
343.54	0.009664428
345.71	0.010806988
347.88	0.011922942
350.04	0.012991828
352.2	0.013679232
354.37	0.013957102
356.53	0.014205182
358.69	0.014497366
360.85	0.01493229
363	0.015565371
365.16	0.016815965
367.32	0.018663178
369.47	0.020793063
371.63	0.023054316
373.78	0.024846062
375.93	0.025956014
378.09	0.02575523
380.24	0.024119679
382.39	0.02128856
384.54	0.017392399
386.68	0.013014036
388.83	0.008456338
390.98	0.004570271
393.12	0.001578789
395.27	-3.62547E-06
397.41	4.75054E-06
399.55	3.23416E-05
401.69	-0.000110639
403.83	7.55876E-05
405.97	0.000445844
408.11	0.001028931
410.25	0.00187539
412.38	0.002911923
414.52	0.00413257
416.65	0.005789073
418.79	0.007877916
420.92	0.010239178
423.05	0.012803241
425.18	0.015507906
427.31	0.018232761
429.44	0.020654173
431.56	0.02265991
433.69	0.023961064
435.82	0.024498413
437.94	0.024335331
440.07	0.023510152
442.19	0.022471977
444.31	0.021358506
446.43	0.020366418
448.55	0.01956829
450.67	0.019144035
452.79	0.019118441
454.9	0.018798225
457.02	0.01808927
459.14	0.017035956
461.25	0.015616457
463.36	0.013815393
465.47	0.011699411
467.59	0.00989446
469.7	0.008542526
471.81	0.007674916
473.91	0.00736811
476.02	0.007584091
478.13	0.008283201
480.23	0.00918566
482.34	0.01020007
484.44	0.011147647
486.54	0.011933452
488.64	0.012640199
490.74	0.01325039
492.84	0.013710591
494.94	0.014021767
497.04	0.014348076
499.14	0.0147271
501.23	0.01500321
503.33	0.015176054
505.42	0.015480014
507.51	0.015901929
509.61	0.016387618
511.7	0.016894466
513.79	0.017245385
515.88	0.017391106
517.96	0.016906932
520.05	0.015735058
522.14	0.014187664
524.22	0.012339644
526.31	0.010318783
528.39	0.008218898
530.47	0.006637969
532.55	0.005706819
534.63	0.004916052
536.71	0.004247076
538.79	0.003846666
540.87	0.003670178
542.94	0.003409327
545.02	0.00304606
547.09	0.002722062
549.17	0.00241551
551.24	0.002461288
553.31	0.002912257
555.38	0.003433543
557.45	0.004003652
559.52	0.004634543
561.59	0.005248329
563.65	0.005928727
565.72	0.006682044
567.78	0.007084867
569.85	0.007082602
571.91	0.007119036
573.97	0.007223651
576.03	0.007194137
578.09	0.00706103
580.15	0.007000868
582.21	0.007023253
584.26	0.007062558
586.32	0.007129468
588.37	0.007179261
590.43	0.007194848
592.48	0.007227723
594.53	0.007289327
596.58	0.007272544
598.63	0.007165179
600.68	0.007187478
602.73	0.007349328
604.78	0.007510242
606.82	0.007673604
608.87	0.007748065
610.91	0.007701038
612.96	0.007654437
615	0.00761424
617.04	0.007512807
619.08	0.00736423
621.12	0.007185313
623.16	0.00697479
625.19	0.006831499
627.23	0.006784162
629.27	0.00670052
631.3	0.006563831
633.33	0.006598176
635.37	0.006810472
637.4	0.006954079
639.43	0.007004832
641.46	0.007018804
643.49	0.006989049
645.51	0.006782397
647.54	0.006391514
649.57	0.006109167
651.59	0.005973008
653.61	0.005856196
655.64	0.005767771
657.66	0.005791724
659.68	0.005923703
661.7	0.005986133
663.72	0.005951165
665.73	0.005927755
667.75	0.005915521
669.77	0.005796696
671.78	0.005563741
673.8	0.005395268
675.81	0.005317593
677.82	0.005158024
679.83	0.004919842
681.84	0.004785939
683.85	0.00476605
685.86	0.004809069
687.87	0.004920803
689.87	0.005094042
691.88	0.005303159
693.88	0.005533182
695.88	0.005783488
697.89	0.005840594
699.89	0.005654616
701.89	0.005585727
703.89	0.005685557
705.88	0.005503535
707.88	0.005022
709.88	0.00477942
711.87	0.004810132
713.87	0.004825732
715.86	0.00485194
717.85	0.004925601
719.84	0.004989238
721.83	0.005248274
723.82	0.005728426
725.81	0.005886994
727.8	0.005666745
729.79	0.0054574
731.77	0.00526667
